1739	219973,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,2011,33.19
4089	130366,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Sunset Park,2005,49.2
10105	130404,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,0.4
19411	130480,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,0.1
45590	130800,648,PM2.5-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,207,East Flatbush - Flatbush,2005,111.9
50713	130827,648,PM2.5-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,503,Willowbrook,2005,30.2
58045	130914,650,PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older),Estimated Annual Rate,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2005,15.1
62792	130940,651,PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older),Estimated Annual Rate,"per 100,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2005,34.3
79336	131035,653,O3-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,202,Downtown - Heights - Slope,2005,77.1
103729	131263,657,PM2.5-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",Borough,2,Brooklyn,2005,55.5
105139	131271,659,O3-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,105,Crotona -Tremont,2005,138.6
110403	131300,659,O3-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,406,Fresh Meadows,2005,21.1
110920	131303,659,O3-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,409,Southeast Queens,2005,29.7
113505	131318,661,O3-Attributable Asthma Hospitalizations,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005,10.2
134044	131432,648,PM2.5-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,304,Upper West Side,2009,74.2
150729	131521,650,PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older),Estimated Annual Rate,"per 100,000 adults",UHF42,208,Canarsie - Flatlands,2009,12.5
154536	131541,650,PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older),Estimated Annual Rate,"per 100,000 adults",UHF42,407,Southwest Queens,2009,10.5
157356	131557,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2009,49.6
161069	131579,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2009,47.9
185932	151503,659,O3-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2009,19.6
186120	151504,659,O3-Attributable Asthma Emergency Department Visits,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2009,8.9
191713	151535,655,O3-Attributable Asthma Hospitalizations,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,202,Downtown - Heights - Slope,2009,20.5
196742	151563,655,O3-Attributable Asthma Hospitalizations,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,409,Southeast Queens,2009,26.2
205202	164875,383,Sulfur Dioxide (SO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),2008,4.43
261555	164970,383,Sulfur Dioxide (SO2),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),2009,1.21
264986	165001,383,Sulfur Dioxide (SO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),2010,3.23
271801	165063,383,Sulfur Dioxide (SO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),2011,1.99
273399	165078,383,Sulfur Dioxide (SO2),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),2011,2.28
286841	165789,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),2008,30.2
292904	165842,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,403,Jackson Heights (CD3),2009,27.31
295818	165868,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),2010,29.98
328248	166749,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),2011,28.77
338353	166841,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,317,East Flatbush (CD17),2012,16.97
343429	166887,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),2013,18.09
345262	166904,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,403,Jackson Heights (CD3),2013,17.84
361383	167632,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),2010,36.42
361618	167634,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),2010,31.66
367634	167685,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,13.35
370924	167712,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),2011,23.5
373227	167732,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),2011,21.06
375248	167749,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),2012,38.71
376047	167756,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),2012,22.25
386716	168430,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),2008,10.81
400722	168532,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,209,Parkchester and Soundview (CD9),2010,13.58
405751	168568,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,501,St. George and Stapleton (CD1),2010,11.97
406174	168571,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,101,Financial District (CD1),2011,11.61
407537	168581,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,111,East Harlem (CD11),2011,10.56
414681	168633,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,104,Clinton and Chelsea (CD4),2012,13.33
419240	168665,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park (CD12),2012,10.14
431460	169345,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,108,Upper East Side (CD8),2010,13.68
435549	169376,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,315,Sheepshead Bay (CD15),2010,11.37
438087	169395,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,502,South Beach and Willowbrook (CD2),2010,11.51
443210	169432,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park (CD12),2011,11.34
444244	169440,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,402,Woodside and Sunnyside (CD2),2011,12.85
451482	169493,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,314,Flatbush and Midwood (CD14),2012,10.22
454960	169519,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,105,Midtown (CD5),2013,15.03
467415	170198,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,311,Bensonhurst (CD11),2008,9.84
469342	170212,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,407,Flushing and Whitestone (CD7),2008,10.21
474794	170250,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,304,Bushwick (CD4),2009,9.84
479306	170282,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,101,Financial District (CD1),2010,12.27
491291	170366,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,302,Fort Greene and Brooklyn Heights (CD2),2011,9.92
491855	170370,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,306,Park Slope and Carroll Gardens (CD6),2011,9.87
495380	170395,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,413,Queens Village (CD13),2011,8.05
496790	170405,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),2012,12.25
500080	170428,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,305,East New York and Starrett City (CD5),2012,8.65
506754	171071,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,2008,4.5
507459	171078,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,2008,6.86
507694	171080,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,501502,Northern SI,2008,2.51
508822	171091,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,205,Sunset Park,2009,2.32
511313	171115,383,Sulfur Dioxide (SO2),Mean,ppb,UHF34,503504,Southern SI,2009,1.07
522170	171560,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,2008,27.63
528656	171621,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,2009,36.13
530160	171635,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,2010,30.6
532275	171655,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,2010,38.71
537680	171705,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,2012,25.91
540359	172070,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,2009,17.94
545952	172124,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,2010,17.83
551122	172174,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,2012,16.09
551545	172178,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,204,East New York,2012,16.61
554130	172203,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,503504,Southern SI,2012,9.49
556715	172228,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,2013,16.56
558501	172585,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2008,26.93
566209	172654,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,204,East New York,2010,22.9
567337	172664,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,2010,27.65
567995	172670,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,2010,22.21
571003	172697,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,2011,25.76
577442	173094,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,202,Downtown - Heights - Slope,2008,14.16
581014	173121,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,2008,11.83
586654	173164,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,204,East New York,2010,12.41
590978	173197,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,203,Bedford Stuyvesant - Crown Heights,2011,9.47
592294	173207,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,302,Central Harlem - Morningside Heights,2011,10.85
608556	173672,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,202,Downtown - Heights - Slope,2011,12.26
618191	173747,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,209,Bensonhurst - Bay Ridge,2013,9.77
621293	174111,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,103,Fordham - Bronx Pk,2008,11.1
638166	174235,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,408,Jamaica,2011,8.48
641691	174261,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,302,Central Harlem - Morningside Heights,2012,9.7
646955	174646,383,Sulfur Dioxide (SO2),Mean,ppb,UHF42,310,Lower Manhattan,2008,4.57
653206	174707,383,Sulfur Dioxide (SO2),Mean,ppb,UHF42,105,Crotona -Tremont,2010,7.79
665191	174825,383,Sulfur Dioxide (SO2),Mean,ppb,UHF42,501,Port Richmond,2012,0.49
665708	175250,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,2008,27.63
668387	175275,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,2008,37.72
680560	175390,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,2011,21.83
681124	175395,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,303,East Harlem,2011,27.76
682910	175412,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,2011,15.89
687986	175880,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,2009,17.94
690994	175908,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,402,West Queens,2009,21.66
693626	175934,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,2010,18.96
696117	175958,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,2010,10.1
697856	175975,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,2011,18.64
705893	176053,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,2013,17.46
720369	176606,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,2010,23.56
735033	177155,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,210,Coney Island - Sheepshead Bay,2008,11.12
735174	177156,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,211,Williamsburg - Bushwick,2008,15.14
750073	177270,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,106,High Bridge - Morrisania,2011,11.24
750872	177276,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,205,Sunset Park,2011,10.08
755948	177315,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,202,Downtown - Heights - Slope,2012,11.11
765771	177811,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,101,Kingsbridge - Riverdale,2010,11.83
773996	177875,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,305,Upper East Side,2011,13.11
774654	177880,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,310,Lower Manhattan,2011,13.21
775547	177887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,407,Southwest Queens,2011,11.03
781046	177930,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,408,Jamaica,2012,9.98
783960	177953,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,210,Coney Island - Sheepshead Bay,2013,9.71
784994	177961,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,307,Gramercy Park - Murray Hill,2013,14.14
793642	178445,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,105,Crotona -Tremont,2009,10.99
798389	178480,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,502,Stapleton - St. George,2009,8.64
801397	178502,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,302,Central Harlem - Morningside Heights,2010,11.13
803183	178515,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,405,Ridgewood - Forest Hills,2010,9.95
804358	178524,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,504,South Beach - Tottenville,2010,9.29
804499	178525,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,101,Kingsbridge - Riverdale,2011,9.27
816954	179119,375,Nitrogen Dioxide (NO2),Mean,ppb,Citywide,1,New York City,2010,17.59
